postcode_sector,average_price,percentage_average_price
W1K 5,1100000,156
W1K 6,3500000,520
W1K 7,5700000,853
W1S 1,880000,131
W1S 3,1900000,276
W1S 4,24400000,3634
W1T 1,1200000,181
W1T 2,1600000,237
W1T 3,1600000,236
W1T 4,1300000,187
W1T 5,903000,134
W1T 6,1300000,186
W1U 1,2200000,322
W1U 2,870000,130
W1U 3,1700000,250
W1U 4,2600000,384
W1U 5,1300000,187
W1U 6,1400000,211
W1U 7,1600000,238
W1U 8,1500000,227
W1W 5,1100000,160
W1W 6,2300000,338
W1W 7,892000,133
W1W 8,1500000,227
W2 1,925000,138
W2 2,1500000,224
W2 3,1100000,165
W2 4,2200000,327
W2 5,1400000,211
W2 6,738000,110
W3 0,663000,99
W3 6,613000,91
W3 7,556000,83
W3 8,553000,82
W3 9,815000,121
W4 1,1100000,161
W4 2,1100000,158
W4 3,993000,148
W4 4,730000,109
W4 5,787000,117
W5 1,731000,109
W5 2,882000,131
W5 3,689000,103
W5 4,734000,109
W5 5,1100000,162
W6 0,881000,131
W6 7,1000000,149
W6 8,830000,124
W6 9,917000,137
W7 1,500000,74
W7 2,624000,93
W7 3,535000,80
W8 4,3500000,515
W8 5,2400000,353
W8 6,1900000,283
W8 7,3100000,458
W9 1,1400000,203
W9 2,731000,109
W9 3,561000,84
WC1A 1,4000000,602
WC1A 2,1000000,151
WC1B 3,1800000,273
WC1B 4,1200000,175
WC1E 6,786000,117
WC1E 7,1500000,216
WC1H 0,291000,43
WC1H 8,807000,120
WC1H 9,565000,84
WC1N 1,619000,92
WC1N 2,1200000,180
WC1N 3,1300000,187
WC1R 4,1000000,156
WC1V 6,973000,145
WC1X 0,864000,129
WC1X 8,789000,117
WC1X 9,1000000,150
WC2B 5,1100000,167
WC2B 6,2200000,328
WC2E 7,691000,103
WC2E 9,1900000,282
WC2H 7,645000,96
WC2H 8,813000,121
WC2H 9,1700000,257
WC2N 4,1300000,196
WC2N 6,1500000,219
WC2R 0,820000,122
WC2R 1,1500000,220
